fusedyear,fusedmonth,fusedday,fusedhour,toplam_yolcu
2020,2,2,11,7188
2020,2,2,12,10549
2020,2,2,13,13460
2020,2,2,14,14892
2020,2,2,15,14452
2020,2,2,16,14605
2020,2,2,17,15563
2020,2,2,18,16107
2020,2,2,19,13408
2020,2,2,20,8813
2020,2,2,21,7102
2020,2,2,22,5534
2020,2,2,23,2732
2020,2,3,0,90
2020,2,3,1,5
2020,2,3,2,7
2020,2,3,3,9
2020,2,3,4,3
2020,2,3,5,465
2020,2,3,6,5589
2020,2,3,7,21138
2020,2,3,9,12167
2020,2,3,10,8590
2020,2,3,11,8633
2020,2,3,12,9660
2020,2,3,13,10179
2020,2,3,14,10688
2020,2,3,15,14154
2020,2,3,16,16271
2020,2,3,17,21113
2020,2,3,19,15326
2020,2,3,20,7700
2020,2,3,21,5327
2020,2,3,22,4141
2020,2,3,23,2185
2020,2,4,0,73
2020,2,4,1,6
2020,2,4,2,7
2020,2,4,3,3
2020,2,4,4,5
2020,2,4,5,419
2020,2,4,6,5418
2020,2,4,7,21447
2020,2,4,9,13785
2020,2,4,10,9660
2020,2,4,11,9930
2020,2,4,12,11215
2020,2,4,13,11251
2020,2,4,14,11776
2020,2,4,15,15338
2020,2,4,16,18165
2020,2,4,17,22739
2020,2,4,19,17363
2020,2,4,20,8689
2020,2,4,21,6186
2020,2,4,22,5150
2020,2,4,23,2595
2020,2,5,0,111
2020,2,5,1,1
2020,2,5,2,7
2020,2,5,3,5
2020,2,5,4,3
2020,2,5,5,459
2020,2,5,6,5522
2020,2,5,7,21669
2020,2,5,9,13425
2020,2,5,10,9304
2020,2,5,11,9074
2020,2,5,12,10239
2020,2,5,13,10795
2020,2,5,14,11415
2020,2,5,15,16199
2020,2,5,16,19129
2020,2,5,19,17111
2020,2,5,20,8150
2020,2,5,21,5567
2020,2,5,22,4847
2020,2,5,23,2368
2020,2,6,0,100
2020,2,6,1,6
2020,2,6,2,8
2020,2,6,3,6
2020,2,6,4,19
2020,2,6,5,467
2020,2,6,6,5237
2020,2,6,7,20274
2020,2,6,9,13023
2020,2,6,10,8644
2020,2,6,11,8858
2020,2,6,12,9916
2020,2,6,13,10132
2020,2,6,14,10948
2020,2,6,15,14860
2020,2,6,16,17146
2020,2,6,17,22167
2020,2,6,19,15406
2020,2,6,20,7990
2020,2,6,21,5433
2020,2,6,22,4612
2020,2,6,23,2265
2020,2,7,0,78
2020,2,7,1,14
2020,2,7,2,9
2020,2,7,3,9
2020,2,7,4,5
2020,2,7,5,436
2020,2,7,6,5259
2020,2,7,7,20322
2020,2,7,9,12716
2020,2,7,10,8574
2020,2,7,11,8874
2020,2,7,12,10325
2020,2,7,13,10435
2020,2,7,14,12057
2020,2,7,15,16323
2020,2,7,16,20733
2020,2,7,19,19267
2020,2,7,20,9813
2020,2,7,21,6477
2020,2,7,22,5734
2020,2,7,23,3977
2020,2,8,0,1485
2020,2,8,1,742
2020,2,8,2,395
2020,2,8,3,192
2020,2,8,4,187
2020,2,8,5,391
2020,2,8,6,2440
2020,2,8,7,6575
2020,2,8,8,9941
2020,2,8,9,7830
2020,2,8,10,6861
2020,2,8,11,8170
2020,2,8,12,11526
2020,2,8,13,14767
2020,2,8,14,15326
2020,2,8,15,14852
2020,2,8,16,15170
2020,2,8,17,16733
2020,2,8,18,18084
2020,2,8,19,15168
2020,2,8,20,9213
2020,2,8,21,6377
2020,2,8,22,7224
2020,2,8,23,4144
2020,2,9,0,1677
2020,2,9,1,1102
2020,2,9,2,588
2020,2,9,3,360
2020,2,9,4,228
